SKU,Sale Date,Quantity,Revenue
SWITCH-030,2026-03-27,77,2953.22
SWITCH-030,2026-04-23,205,7962.15
SWITCH-030,2026-05-07,161,6224.98
SWITCH-030,2026-06-03,194,7666.85
SWITCH-030,2026-07-15,249,9829.37
SWITCH-030,2026-08-13,207,7991.38
SWITCH-031,2025-03-03,67,4711.94
SWITCH-031,2025-04-26,67,4745.43
SWITCH-031,2025-05-09,96,6721.06
SWITCH-031,2025-06-25,79,5579.32
SWITCH-031,2025-07-22,88,6457.26
SWITCH-031,2025-08-09,38,2720.56
SWITCH-031,2025-09-16,54,3934.75
SWITCH-031,2025-10-03,76,5399.46
SWITCH-031,2025-11-03,87,6177.15
SWITCH-031,2025-12-01,66,4790.33
SWITCH-031,2026-01-08,83,5820.61
SWITCH-031,2026-02-04,70,5026.02
SWITCH-031,2026-03-09,62,4496.6
SWITCH-031,2026-04-02,102,7355.86
SWITCH-031,2026-05-06,77,5464.8
SWITCH-031,2026-06-06,86,6081.2
SWITCH-031,2026-07-25,67,4738.87
SWITCH-031,2026-08-15,90,6480.03
CABLE-040,2025-03-01,2271,3156.81
CABLE-040,2025-04-02,2351,3081.56
CABLE-040,2025-05-07,2186,2953.62
CABLE-040,2025-06-08,1917,2655.44
CABLE-040,2025-07-14,2385,3249.99
CABLE-040,2025-08-18,2338,3219.67
CABLE-040,2025-09-23,2064,2738.78
CABLE-040,2025-10-08,2367,3165.29
CABLE-040,2025-11-21,2973,3926.79
CABLE-040,2025-12-12,2501,3473.97
CABLE-040,2026-01-21,2832,3878.46
CABLE-040,2026-02-09,2229,2996.65
CABLE-040,2026-03-13,2511,3465.21
CABLE-040,2026-04-22,2356,3270.47
CABLE-040,2026-05-02,2043,2751.34
CABLE-040,2026-06-06,2033,2706.52
CABLE-040,2026-07-11,2362,3279.12
CABLE-040,2026-08-18,2203,2942.56
RELAY-050,2025-03-07,105,8744.1
RELAY-050,2025-04-01,66,5489.23
RELAY-050,2025-05-21,73,6021.98
RELAY-050,2025-06-17,66,5635.89
RELAY-050,2025-07-05,95,7931.89
RELAY-050,2025-08-02,82,6844.18
RELAY-050,2025-09-03,46,3883.84
RELAY-050,2025-10-17,92,7891.79
RELAY-050,2025-11-26,88,7560.13
RELAY-050,2025-12-13,103,8789.21
RELAY-050,2026-01-10,52,4426.75
RELAY-050,2026-02-21,28,2301.87
RELAY-050,2026-03-17,78,6602.06
RELAY-050,2026-04-24,21,1785.28
RELAY-050,2026-05-25,1,84.02
RELAY-050,2026-06-27,57,4877.89
RELAY-050,2026-07-26,101,8683.97
RELAY-050,2026-08-22,64,5523.11
FUSE-003,2025-03-02,672,1708.74
FUSE-003,2025-04-12,663,1771.33
FUSE-003,2025-05-02,613,1606.02
FUSE-003,2025-06-21,770,2005.78
FUSE-003,2025-07-15,691,1828.69
FUSE-003,2025-08-24,765,2040.62
FUSE-003,2025-09-17,718,1818.19
FUSE-003,2025-10-24,652,1692.54
FUSE-003,2025-11-08,747,1968.92
FUSE-003,2025-12-07,491,1255.98
FUSE-003,2026-01-13,604,1530.52
FUSE-003,2026-02-22,577,1481.06
FUSE-003,2026-03-07,799,2024.73
FUSE-003,2026-04-05,702,1806.78
FUSE-003,2026-05-20,570,1488.03
FUSE-003,2026-06-01,532,1381.74
FUSE-003,2026-07-04,391,1028.32
FUSE-003,2026-08-22,672,1746.11
